site,N,design,R,A
1,14,S,2.45E+06,0.046524429
1a,4,S,5.47E+05,0.051611
1b,1,S,2.10E+05,0.033403
1c,1,S,2.46E+05,0.035361
1d,1,S,2.53E+05,0.031636
1e,1,S,2.37E+05,0.036479
1f,1,S,2.20E+05,0.043851
1g,5,S,6.20E+05,0.05418
2,14,S,2.61E+06,0.046524429
2a,4,S,6.00E+05,0.051611
2b,1,S,2.50E+05,0.033403
2c,1,S,2.90E+05,0.035361
2d,1,S,2.79E+05,0.031636
2e,1,S,2.47E+05,0.036479
2f,1,S,2.13E+05,0.043851
2g,5,S,6.44E+05,0.05418
3,14,L,1.63E+04,1.978839286
3a,4,L,4.64E+03,2.0369
3b,1,L,1.38E+03,1.9039
3c,1,L,2,1.89285
3d,1,L,3,1.88435
3e,1,L,1561,1.9323
3f,1,L,1352,1.9608
3g,5,L,7.32E+03,2.00097
4,14,L,1.36E+04,1.978839286
4a,4,L,2.99E+03,2.0369
4b,1,L,805,1.9039
4c,1,L,893,1.89285
4d,1,L,817,1.88435
4e,1,L,820,1.9323
4f,1,L,768,1.9608
4g,5,L,6.61E+03,2.00097
5,14,L,1.55E+04,1.978839286
5a,4,L,3.53E+03,2.0369
5b,1,L,1.20E+03,1.9039
5c,1,L,1.22E+03,1.89285
5d,1,L,1.21E+03,1.88435
5e,1,L,1.23E+03,1.9323
5f,1,L,1.20E+03,1.9608
5g,5,L,5.89E+03,2.00097
6,2,L,2.78E+03,
7,2,L,2.67E+03,
8,2,S,9.09E+05,
10,2,S,8.11E+05,
